,Subject,Action,Object,Negation
0,Lithium,induces,nephrogenic diabetes insipidus,False
1,Lithium,induces,∼40,False
2,capacity,concentrate,urine,False
3,method,treating,polyuria,False
4,mice,treated,lithium,False
5,mice,treated,0,False
6,mice,treated,days,False
7,controls,treated,lithium,False
8,controls,treated,0,False
9,controls,treated,days,False
10,mice,increased,urine,False
11,mice,had,change,True
12,expression,lowered,days,False
13,results,observed,UT,False
14,Animals,treated,lithium,False
15,Animals,treated,weeks,False
16,mice,had,urine,False
17,expression,lowered,WT,False
18,sodium,elevated,WT,False
19,ablation,preserves,AQP2,False
20,ablation,preserves,UT-A1 protein expression,False
21,ablation,preserves,localization,False
22,polyuria,associated,lithium,False
