,Subject,Action,Object,Negation
0,we,examined,IGF,False
1,I,is,alternative,False
2,animals,received,rhIGF,False
3,I,received,vehicle,False
4,rats,received,vehicle,False
5,I,improved,weight,False
6,clearance,was,rhIGF,False
7,improvement,associated,glomerular,True
8,I,increased,receptor,False
9,treatment,reduced,IGF,False
10,mRNA,modify,gene,True
11,administration,improves,growth,False
12,administration,improves,term,False
13,administration,improves,GFR,False
14,I,improves,growth,False
15,I,improves,term,False
16,I,improves,GFR,False
17,I,worsen,injury,True
18,I,worsen,disease,True
