,Subject,Action,Object,Negation
0,who,had,evidence,False
1,patients,included,study,False
2,Five patients with idiopathic orthostatic hypotension who had physiologic and biochemical evidence of severe autonomic dysfunction,exhibited,plasma,False
3,Five patients with idiopathic orthostatic hypotension who had physiologic and biochemical evidence of severe autonomic dysfunction,exhibited,plasma renin activity,False
4,Treatment,administered,increases,False
5,rises,ranging,11/6,False
6,administration,elevated,blood,False
7,administration,elevated,increases,False
8,Treatment,continued,individuals,False
9,Treatment,continued,months,False
10,there,been,decrease,False
11,measurements,demonstrated,increase,False
12,change,following,propranolol,False
13,propranolol,is,drug,False
