,Subject,Action,Object,Negation
0,We,visualize,profile,False
1,We,visualize,time,False
2,brain,associated,abuse,False
3,who,used,MA,False
4,Studies,revealed,deficits,False
5,we,determined,pattern,False
6,alterations,associated,MA,False
7,alterations,related,deficits,False
8,We,map,analyses,False
9,We,map,abnormalities,False
10,We,map,cortex,False
11,who,used,MA,False
12,who,used,controls,False
13,maps,revealed,matter,False
14,deficits,averaging,control,False
15,abusers,had,volumes,False
16,abuse,causes,pattern,False
17,MA,damage,temporal lobe,False
18,hypertrophy,result,myelination,False
19,hypertrophy,result,changes,False
20,myelination,including,gliosis,False
21,substrates,account,symptoms,False
