,Subject,Action,Object,Negation
0,Memory deficit,found,Morris,False
1,STZ,causes,expression,False
2,STZ,increased,level,False
3,STZ,increased,nitrite,False
4,preparation,illustrating,generation,False
5,preparation,illustrating,excitotoxicity,False
6,expression,observed,STZ,False
7,activity,observed,STZ,False
8,which,specify,apoptotic cell death,False
9,treatment,showed,decrease,False
10,treatment,showed,CaMKIIα,False
11,expression,indicating,neurotoxicity,False
12,experiment,set,2,False
13,memory function,affected,STZ,True
14,activation,are,factors,False
