,Subject,Action,Object,Negation
0,isomers,compared,activities.2,False
1,-propranolol,had,hundredth,False
2,which,attenuated,responses,False
3,there,was,prolongation,False
4,-Propranolol,had,effect,True
5,isomers,possessed,potency,False
6,muscle,taken,guinea,False
7,isomers,exhibited,potencies,False
8,isomers,exhibited,that,False
9,isomers,exhibited,frog,False
10,cats,anaesthetized,halothane,False
11,dose,was,kg,False
12,there,was,prolongation,False
13,ventricular tachycardia,caused,cats,False
14,ventricular tachycardia,caused,dogs,False
