,Subject,Action,Object,Negation
0,Hannover Wistar rats,dosed,DOX,False
1,Hannover Wistar rats,dosed,weeks,False
2,Hannover Wistar rats,dosed,recovery,False
3,Hannover Wistar rats,dosed,week,False
4,Electron microscopy,revealed,myocardium,False
5,Electron microscopy,revealed,subcellular degeneration,False
6,Electron microscopy,revealed,single dose,False
7,Histopathological analysis,revealed,cardiomyocyte degeneration,False
8,Histopathological analysis,revealed,doses,False
9,replacement fibrosis,developed,Sirius red staining,False
10,left ventricular ejection fraction,assessed,cardiac MRI,False
11,left ventricular ejection fraction,declined,cardiac MRI,False
12,left ventricular ejection fraction,declined,statistical significance,False
13,left ventricular ejection fraction,declined,doses,False
14,left ventricular ejection fraction,declined,LV dysfunction,False
15,left ventricular ejection fraction,declined,weeks,False
16,increases,emerged,doses,False
17,increases,emerged,LVEF,False
18,Myocardial contrast enhancement,occurred,cTnI,False
19,indices,predated,LV dysfunction,False
20,indices,predated,evaluation,False
21,indices,predated,biomarkers,False
