,Subject,Action,Object,Negation
0,exposure,stimulates,formation,False
1,which,triggers,release,False
2,Thrombosis,comprise,hallmark,False
3,thrombocytopenia,comprise,hallmark,False
4,prevalence,varies,subgroups,False
5,prevalence,varies,incidence,False
6,HIT,acknowledged,predilection,False
7,thrombosis,occurs,heparin,False
8,that,incorporates,clues,False
9,delay,result,outcomes,False
10,treatment,mandates,cessation,False
11,which,include,assays,False
12,tests,have,more,False
13,attention,paid,to,False
14,who,exposed,course,False
15,thrombin inhibitors,are,alternatives,False
16,who,undergo,intervention,False
17,history,undergo,intervention,False
18,heparin,remains,one,False
