,Subject,Action,Object,Negation
0,Methamphetamine,triggers,disruption,False
1,states,including,depressive symptoms,False
2,dosage,causes,monoaminergic,False
3,we,assessed,behaviour,False
4,we,assessed,mice,False
5,we,assessed,term,False
6,behaviour,following,METH,False
7,METH,alter,motor,True
8,METH,alter,memory,True
9,escape,find,platform,False
10,METH,increased,immobility,False
11,depletion,observed,days,False
12,findings,demonstrate,time,False
13,dose,induces,behaviour,False
14,dose,induces,mice,False
15,mice,associated,disruption,False
