,Subject,Action,Object,Negation
0,woman,had,hematuria,False
1,nephroureterectomy,required,control,False
2,pathology specimen,contained,carcinoma of the renal pelvis,False
3,ability,cause,hemorrhagic cystitis,False
4,the ability of cyclophosphamide to cause hemorrhagic cystitis and urine cytologic abnormalities indistinguishable from high grade carcinoma is well known,associated,carcinoma,False
5,carcinomas,reported,association,False
6,carcinoma of the prostate,reported,association,False
7,case,is,carcinoma of the renal pelvis,False
8,carcinoma of the renal pelvis,reported,association,False
9,It,is,urinary tract cancer,False
10,urinary tract cancer,reported,association,False
11,who,are,candidates,False
12,Patients,evaluated,obstructive uropathy,False
