,Subject,Action,Object,Negation
0,We,evaluated,neuropathy,False
1,trial,underwent,examinations,False
2,trial,underwent,nerve conduction studies,False
3,NCS,included,recording,False
4,amplitudes,expressed,percentage,False
5,mean,termed,SNAP,False
6,decline,considered,significant,False
7,Thalidomide,discontinued,patients,False
8,Thalidomide,discontinued,lack,False
9,24,remained,thalidomide,False
10,24,remained,months,False
11,8,remained,months,False
12,3,remained,months,False
13,patients,developed,neuropathy,False
14,Neuropathy,be,complication,False
15,index,monitor,peripheral neuropathy,False
