,Subject,Action,Object,Negation
0,Primary dysmenorrhea,is,syndrome,False
1,non-steroidal anti-inflammatory drugs,are,choice,False
2,cells,are,targets,False
3,aim,determine,efficacy,False
4,total,studied,menstrual cycles,False
5,patients,receive,DCF,False
6,Patients,received,doses,False
7,Patients,received,days,False
8,participants,recorded,menstrual symptoms,False
9,participants,recorded,times,False
10,participants,recorded,dose,False
11,participants,recorded,drugs,False
12,participants,recorded,side,False
13,difference,was,variable,False
14,treatments,reduced,DPI,False
15,scores,remained,min,False
16,scores,remained,hour,False
17,patients,using,GTN,False
18,GTN,has,efficacy,False
19,GTN,has,comparison,False
20,GTN,has,tolerability,False
