,Subject,Action,Object,Negation
0,antagonist,tested,effects,False
1,rats,using,seizure,False
2,pretreatment,produced,action,False
3,rats,treated,pilocarpine,False
4,biochemical mechanisms,control,seizures,False
5,biochemical mechanisms,control,models,False
6,effect,occurred,periods,False
7,observation,be,an,False
8,binding,requires,opening,False
9,it,block,seizures,False
10,it,terminate,status epilepticus,False
11,Administration,reduced,seizure,False
12,activation,plays,role,False
13,activation,plays,model,False
14,results,resulting,status epilepticus,False
15,results,resulting,mortality,False
