,Subject,Action,Object,Negation
0,aims,examine,vancomycin,False
1,aims,examine,oxidative stress,False
2,that,promotes,production,False
3,oxidative stress,investigate,role,False
4,which,has,antioxidant,False
5,Rats,divided,groups,False
6,VCM,administrated,200mgkg(-1,False
7,VCM,administrated,days,False
8,administration,control,rats,False
9,administration,control,malondialdehyde,False
10,administration,caused,MDA,False
11,administration,caused,NAG,False
12,activity,compared,VCM,False
13,Erdosteine,showed,protection,False
14,There,were,dilatation,False
15,Erdosteine,caused,reduction,False
16,damage,plays,role,False
