,Subject,Action,Object,Negation
0,Vasoactive intestinal polypeptide,is,vasodilator,False
1,that,have,properties,False
2,VIP,decreased,35,False
3,VIP,decreased,31,False
4,patients,receiving,heart,False
5,content,compared,papillary muscles,False
6,patients,receiving,mitral valve,False
7,concentration,found,hearts,False
8,patient,receiving,transplant,False
9,patient,receiving,prostheses,False
10,patients,undergoing,transplantation,False
11,patients,had,ejection,False
12,%,had,VIP,False
13,patients,receiving,transplant,False
14,catecholamines,determined,subjects,False
15,correlation,was,noted.(ABSTRACT,False
