,Subject,Action,Object,Negation
0,effects,assessed,trials,False
1,agents,including,bFGF,False
2,We,undertook,label,False
3,study,using,thalidomide,False
4,study,using,mg,False
5,study,using,months,False
6,study,using,men,False
7,time,was,days,False
8,Patients,underwent,measurement,False
9,men,showed,decline,False
10,decline,sustained,treatment,False
11,men,treated,months,False
12,levels,associated,progressive disease,False
13,who,demonstrated,fall,False
14,men,showed,decline,False
15,men,showed,increase,False
16,Adverse effects,included,constipation,False
17,Evidence,found,men,False
18,who,completed,months,False
19,evidence,found,four,False
20,thalidomide,be,option,False
21,who,failed,forms,False
22,up,maintained,development,False
