,Subject,Action,Object,Negation
0,data,regarding,seizures,False
1,we,undertook,analysis,False
2,we,undertook,patients,False
3,bypass,used,January,False
4,convulsive seizure,defined,episode,False
5,analysis,identify,predictors,False
6,total,developed,convulsive seizures,False
7,patients,developed,convulsive seizures,False
8,focal seizures,identified,patients,False
9,time,was,h,False
10,time,was,h,False
11,findings,seen,patients,False
12,predictors,included,age,False
13,tranexamic acid,was,predictor,False
14,Patients,had,mortality,False
15,Patients,had,length,False
16,length,was,h,False
17,h,compared,h,False
18,Convulsive seizures,are,postoperative complication,False
19,tranexamic acid,is,factor,False
20,doses,exceeding,mg.kg(-1,False
