,Subject,Action,Object,Negation
0,histology,study,cardiotoxicity,False
1,we,developed,method,False
2,method,measure,ECG,False
3,method,moving,mice,False
4,method,moving,telemetry,False
5,we,investigated,effect,False
6,interval,widened,+,False
7,ms,given,i.v,False
8,ECG,change,study,True
9,schedule,exerted,toxicity,False
10,toxicity,investigate,agents,False
11,protection,using,dose,False
12,protection,using,doses,False
13,doses,given,i.v,False
14,hearts,appeared,normal,False
15,hearts,appeared,sacrifice,False
16,findings,result,model,False
