,Subject,Action,Object,Negation
0,which,allow,monitoring,False
1,which,allow,intervention,False
2,we,utilized,rat,False
3,doxorubicin,applying,approaches,False
4,approaches,including,resonance,False
5,doxorubicin,provide,characterization,False
6,events,underlying,toxicity,False
7,Wistar rats,dosed,kg,False
8,Wistar rats,dosed,weeks,False
9,microscopy,revealed,degeneration,False
10,analysis,revealed,degeneration,False
11,fibrosis,developed,period,False
12,indices,including,fraction,False
13,cardiac troponin I,emerged,doses,False
14,levels,correlated,contrast,False
15,degeneration,was,marker,False
16,indices,predated,LV,False
