,Subject,Action,Object,Negation
0,Antidepressants,associated,reactions,False
1,Elements,included,history,False
2,depressive disorders,including,atypicality,False
3,depressive disorders,present,vulnerability,False
4,exacerbations,associated,serotonin,False
5,mechanisms,including,"dopamine release, beta-noradrenergic receptor downregulation",False
6,GABAB receptor upregulation,acting,vicinity,False
7,GABAB receptor upregulation,acting,cingulate,False
8,cases,call,attention,False
9,considerations,regarding,paranoia,False
