,Subject,Action,Object,Negation
0,activity,studied,rats,False
1,rats,bearing,IgM,False
2,mm,treated,iv,False
3,mm,treated,days,False
4,regression,observed,kg,False
5,disappearance,induced,kg,False
6,evidence,scored,grade,False
7,evidence,observed,dose,False
8,evidence,seen,dose,False
9,which,resulted,albuminuria,False
10,which,resulted,serum,False
11,that,received,kg,False
12,level,decreased,33.6,False
13,experiments,performed,rats,False
14,activity,studied,M,False
15,ascites,were,consequence,True
16,hydrothorax,were,consequence,True
