,Subject,Action,Object,Negation
0,treatment regimens,described,patients,False
1,treatment regimens,described,endometrial disease,False
2,treatment regimens,described,climacteric women,False
3,treatment regimens,described,oestrogen therapy,False
4,Cystic hyperplasia,associated with,unopposed oestrogen therapy,False
5,Cystic hyperplasia,associated with,progestagen,False
6,courses,caused,days,False
7,courses,caused,norethisterone,False
8,courses,caused,reversion,False
9,courses,caused,cases,False
10,courses,caused,cystic hyperplasia,False
11,courses,caused,cases,False
12,courses,caused,hyperplasia,False
13,cases,demonstrated,endometrial carcinoma,False
14,cases,demonstrated,problems,False
15,cases,demonstrated,unopposed oestrogen therapy,False
16,cases,demonstrated,hyperplasia,False
17,cases,demonstrated,malignancy,False
18,oestrogen therapy,seem,days,True
19,oestrogen therapy,seem,progestagen,True
20,oestrogen therapy,seem,risk,True
21,oestrogen therapy,seem,endometrial hyperplasia,True
