,Subject,Action,Object,Negation
0,seizures,studied,effects of,False
1,seizures,studied,eslicarbazepine acetate,False
2,seizures,studied,whole-animal model,False
3,seizures,studied,days,False
4,seizures,studied,changes,False
5,seizures,studied,threshold,False
6,seizures,elicited,days,False
7,seizures,elicited,changes,False
8,seizures,elicited,threshold,False
9,duration,was,animals,False
10,duration,was,threshold,False
11,duration,was,picrotoxin,False
12,duration,was,seizures,False
13,Pre-treatment,prevented,dose,False
14,Pre-treatment,prevented,picrotoxin microperfusion,False
15,Pre-treatment,prevented,seizures,False
16,Pre-treatment,prevented,rats,False
17,Lower doses,suppress,seizures,True
18,Lower doses,suppress,administration,True
19,Lower doses,suppress,seizures,True
20,reductions,suppress,seizures,True
21,reductions,suppress,administration,True
22,reductions,suppress,seizures,True
23,reductions,found,administration,False
24,reductions,found,seizures,False
25,adverse effects,observed,eslicarbazepine acetate,False
26,adverse effects,observed,sleep/wakefulness cycle,False
27,adverse effects,observed,doses,False
