,Subject,Action,Object,Negation
0,We,are,way,False
1,way,discovering,interpretation,False
2,efforts,made,field,False
3,form,found,mouse,False
4,form,bear,resemblance,False
5,Myopathy,have,much,False
6,Myopathy,have,form,False
7,authors,induced,myodystrophy,False
8,authors,induced,rat,False
9,diet,lacking,vitamin,False
10,biopsies,performed,Orthopaedic,False
11,results,obtained,departments,False
12,results,using,steroids,False
13,results,investigate,authors,False
14,results,investigate,effects,False
15,results,investigate,doses,False
16,rats,rendered,myopathic,False
17,"the beneficial effects of one anabolizing agent (Dianabol, CIBA)",obtained,changes,False
18,"the beneficial effects of one anabolizing agent (Dianabol, CIBA)",found,changes,False
19,which,maintained,characteristics,False
20,that,treated,agent,True
21,The authors,have,reservations,False
22,dosage,carried,effects,True
23,injury,occurs,stage,False
24,agent,is,lack,True
